_id,place_area,place_idx,place_img,place_info,place_like,place_middle,place_small,place_view
62aaa415c46aac9e5313cc8f,전라북도,7079,,성가리 백로마을,,자연관광지,자연생태관광지,
62aaa415c46aac9e5313cc90,경기도,7080,,문안산,,자연관광지,산,
62aaa415c46aac9e5313cc91,경상남도,7081,,무학산,,자연관광지,산,
62aaa415c46aac9e5313cc92,광주,7082,,무등산국립공원,,자연관광지,국립공원,
62aaa415c46aac9e5313cc93,전라북도,7083,,모악산도립공원,,자연관광지,도립공원,
62aaa415c46aac9e5313cc94,전라북도,7084,,모악산,,자연관광지,도립공원,
62aaa415c46aac9e5313cc95,강원도,7085,,남노일 강변,,자연관광지,강,
62aaa415c46aac9e5313cc96,강원도,7086,,송지호,,자연관광지,호수,
62aaa415c46aac9e5313cc97,경기도,7087,,금주산,,자연관광지,산,
62aaa415c46aac9e5313cc98,충청북도,7088,,구담봉.옥순봉,,자연관광지,산,
62aaa415c46aac9e5313cc99,울산,7089,,가지산도립공원(울주),,자연관광지,도립공원,
62aaa415c46aac9e5313cc9a,강원도,7090,,소양호(양구),,자연관광지,호수,
62aaa415c46aac9e5313cc9b,강원도,7091,,영랑호,,자연관광지,호수,
62aaa415c46aac9e5313cc9c,충청북도,7092,,한천팔경,,자연관광지,산,
62aaa415c46aac9e5313cc9d,충청남도,7093,,천장호,,자연관광지,호수,
62aaa415c46aac9e5313cc9e,경기도,7094,,평택호관광단지,,자연관광지,호수,
62aaa415c46aac9e5313cc9f,전라남도,7095,,삼학도,,자연관광지,섬,
62aaa415c46aac9e5313cca0,전라남도,7096,,관매도·관매해수욕장,,자연관광지,섬,
62aaa415c46aac9e5313cca1,전라남도,7097,,만성리 검은모래해변,,자연관광지,해수욕장,
62aaa415c46aac9e5313cca2,전라남도,7098,,남열해돋이해수욕장,,자연관광지,해수욕장,
62aaa415c46aac9e5313cca3,전라남도,7099,,발포해수욕장,,자연관광지,해수욕장,
62aaa415c46aac9e5313cca4,강원도,7100,,백담계곡,,자연관광지,계곡,
62aaa415c46aac9e5313cca5,전라북도,7101,,두남천,,자연관광지,계곡,
62aaa415c46aac9e5313cca6,강원도,7102,,구문소,,자연관광지,강,
62aaa415c46aac9e5313cca7,경상남도,7103,,고운동계곡,,자연관광지,계곡,
62aaa415c46aac9e5313cca8,강원도,7104,,갈천약수터,,자연관광지,약수터,
62aaa415c46aac9e5313cca9,충청북도,7105,,"장령산자연휴양림(구, 장용산자연휴양림)",,자연관광지,자연휴양림,
62aaa415c46aac9e5313ccaa,전라북도,7106,,고산자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313ccab,경상북도,7107,,주방계곡,,자연관광지,계곡,
62aaa415c46aac9e5313ccac,강원도,7108,,집다리골자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313ccad,경상남도,7109,,거열산성군립공원,,자연관광지,군립공원,
62aaa415c46aac9e5313ccae,제주도,7110,,비양도,,자연관광지,섬,
62aaa415c46aac9e5313ccaf,충청남도,7111,,서대산,,자연관광지,산,
62aaa415c46aac9e5313ccb0,강원도,7112,,홀로세 생태학교,,자연관광지,자연생태관광지,
62aaa415c46aac9e5313ccb1,제주도,7113,,한라수목원,,자연관광지,수목원,
62aaa415c46aac9e5313ccb2,경기도,7114,,소요산국민관광지,,자연관광지,산,
62aaa415c46aac9e5313ccb3,전라북도,7115,,국립 회문산자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313ccb4,경상남도,7116,,황석산,,자연관광지,산,
62aaa415c46aac9e5313ccb5,경상남도,7117,,금원산,,자연관광지,산,
62aaa415c46aac9e5313ccb6,강원도,7118,,가리왕산,,자연관광지,산,
62aaa415c46aac9e5313ccb7,전라북도,7119,,구봉산(진안),,자연관광지,산,
62aaa415c46aac9e5313ccb8,경상북도,7120,,성인봉(울릉),,자연관광지,산,
62aaa415c46aac9e5313ccb9,대구,7121,,비슬산군립공원,,자연관광지,군립공원,
62aaa415c46aac9e5313ccba,전라남도,7122,,상황봉,,자연관광지,산,
62aaa415c46aac9e5313ccbb,강원도,7123,,방태산,,자연관광지,산,
62aaa415c46aac9e5313ccbc,전라남도,7124,,완도수목원,,자연관광지,수목원,
62aaa415c46aac9e5313ccbd,경기도,7125,,국립수목원(광릉숲),,자연관광지,수목원,
62aaa415c46aac9e5313ccbe,제주도,7126,,협재해변,,자연관광지,해수욕장,
62aaa415c46aac9e5313ccbf,전라남도,7127,,주암호와 상사호,,자연관광지,호수,
62aaa415c46aac9e5313ccc0,경상북도,7128,,경주국립공원,,자연관광지,국립공원,
62aaa415c46aac9e5313ccc1,강원도,7129,,철원 철새도래지 (철원평야),,자연관광지,자연생태관광지,
62aaa415c46aac9e5313ccc2,전라남도,7130,,가거도(소흑산도),,자연관광지,섬,
62aaa415c46aac9e5313ccc3,제주도,7131,,제주절물자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313ccc4,전라남도,7132,,백아산자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313ccc5,경상북도,7133,,군위 장곡자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313ccc6,강원도,7134,,소양댐,,자연관광지,호수,
62aaa415c46aac9e5313ccc7,경상북도,7135,,지품 복사꽃 동네,,자연관광지,자연생태관광지,
62aaa415c46aac9e5313ccc8,충청북도,7136,,화양구곡(화양동계곡),,자연관광지,계곡,
62aaa415c46aac9e5313ccc9,강원도,7137,,오색약수터,,자연관광지,약수터,
62aaa415c46aac9e5313ccca,경상남도,7138,,미조항,,자연관광지,항구/포구,
62aaa415c46aac9e5313cccb,부산,7139,,일광산 테마임도,,자연관광지,수목원,
62aaa415c46aac9e5313cccc,충청북도,7140,,속리산국립공원(충북),,자연관광지,국립공원,
62aaa415c46aac9e5313cccd,경상북도,7141,,포천계곡,,자연관광지,계곡,
62aaa415c46aac9e5313ccce,경상남도,7142,,남해 가천 해변과 암수바위,,자연관광지,해수욕장,
62aaa415c46aac9e5313cccf,전라남도,7143,,백운산 동곡계곡,,자연관광지,계곡,
62aaa415c46aac9e5313ccd0,경상북도,7144,,옥계계곡,,자연관광지,계곡,
62aaa415c46aac9e5313ccd1,경상북도,7145,,마구령/고치령,,자연관광지,산,
62aaa415c46aac9e5313ccd2,강원도,7146,,강원도립화목원,,자연관광지,수목원,
62aaa415c46aac9e5313ccd3,경상북도,7147,,경상북도수목원,,자연관광지,수목원,
62aaa415c46aac9e5313ccd4,전라남도,7148,,가마골계곡,,자연관광지,계곡,
62aaa415c46aac9e5313ccd5,울산,7149,,석남사계곡,,자연관광지,계곡,
62aaa415c46aac9e5313ccd6,경상북도,7150,,옥방천,,자연관광지,계곡,
62aaa415c46aac9e5313ccd7,충청북도,7151,,서원계곡,,자연관광지,계곡,
62aaa415c46aac9e5313ccd8,충청남도,7152,,이원반도,,자연관광지,항구/포구,
62aaa415c46aac9e5313ccd9,강원도,7153,,고포마을,,자연관광지,어촌,
62aaa415c46aac9e5313ccda,인천,7154,,연평도(대/소 연평도),,자연관광지,섬,
62aaa415c46aac9e5313ccdb,대구,7155,,팔공산자연공원(파계사지구),,자연관광지,산,
62aaa415c46aac9e5313ccdc,경상남도,7156,,벽계저수지,,자연관광지,강,
62aaa415c46aac9e5313ccdd,경상남도,7157,,벽계(찰비)계곡,,자연관광지,계곡,
62aaa415c46aac9e5313ccde,경상남도,7158,,유곡천,,자연관광지,계곡,
62aaa415c46aac9e5313ccdf,경상남도,7159,,국사봉(의령),,자연관광지,산,
62aaa415c46aac9e5313cce0,경상남도,7160,,왜가리 서식지(의령),,자연관광지,자연생태관광지,
62aaa415c46aac9e5313cce1,전라남도,7161,,장성축령산휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cce2,전라북도,7162,,봉화산,,자연관광지,산,
62aaa415c46aac9e5313cce3,전라남도,7163,,달마산,,자연관광지,산,
62aaa415c46aac9e5313cce4,경상남도,7164,,안민고개,,자연관광지,자연생태관광지,
62aaa415c46aac9e5313cce5,전라남도,7165,,나주 배마을,,자연관광지,자연생태관광지,
62aaa415c46aac9e5313cce6,충청남도,7166,,성주산자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cce7,강원도,7167,,맹방 벚꽃길,,자연관광지,자연생태관광지,
62aaa415c46aac9e5313cce8,서울,7168,,일자산자연공원,,자연관광지,산,
62aaa415c46aac9e5313cce9,서울,7169,,길동생태공원,,자연관광지,자연생태관광지,
62aaa415c46aac9e5313ccea,경기도,7170,,유명산계곡,,자연관광지,계곡,
62aaa415c46aac9e5313cceb,경기도,7171,,사나사 계곡,,자연관광지,계곡,
62aaa415c46aac9e5313ccec,전라남도,7172,,옹성산,,자연관광지,산,
62aaa415c46aac9e5313cced,제주도,7173,,우도해양도립공원,,자연관광지,섬,
62aaa415c46aac9e5313ccee,전라남도,7174,,화학산,,자연관광지,산,
62aaa415c46aac9e5313ccef,전라남도,7175,,순천만 화포포구,,자연관광지,항구/포구,
62aaa415c46aac9e5313ccf0,충청남도,7176,,녹도,,자연관광지,섬,
62aaa415c46aac9e5313ccf1,충청남도,7177,,고대도,,자연관광지,섬,
62aaa415c46aac9e5313ccf2,충청남도,7178,,효자도,,자연관광지,섬,
62aaa415c46aac9e5313ccf3,경기도,7179,,칠현산,,자연관광지,산,
62aaa415c46aac9e5313ccf4,충청남도,7180,,도림계곡,,자연관광지,계곡,
62aaa415c46aac9e5313ccf5,충청남도,7181,,냉천골,,자연관광지,계곡,
62aaa415c46aac9e5313ccf6,충청남도,7182,,갈음이 해수욕장,,자연관광지,해수욕장,
62aaa415c46aac9e5313ccf7,강원도,7183,,단풍산,,자연관광지,산,
62aaa415c46aac9e5313ccf8,강원도,7184,,선바위산(영월),,자연관광지,산,
62aaa415c46aac9e5313ccf9,강원도,7185,,목우산,,자연관광지,산,
62aaa415c46aac9e5313ccfa,강원도,7186,,구룡산(강원),,자연관광지,산,
62aaa415c46aac9e5313ccfb,강원도,7187,,완택산,,자연관광지,산,
62aaa415c46aac9e5313ccfc,강원도,7188,,잣봉(영월),,자연관광지,산,
62aaa415c46aac9e5313ccfd,강원도,7189,,마대산,,자연관광지,산,
62aaa415c46aac9e5313ccfe,강원도,7190,,장산(영월),,자연관광지,산,
62aaa415c46aac9e5313ccff,강원도,7191,,태화산(강원),,자연관광지,산,
62aaa415c46aac9e5313cd00,충청남도,7192,,구례포해수욕장,,자연관광지,해수욕장,
62aaa415c46aac9e5313cd01,인천,7193,,강화 동막해변,,자연관광지,해수욕장,
62aaa415c46aac9e5313cd02,경상남도,7194,,창선도(장포마을),,자연관광지,섬,
62aaa415c46aac9e5313cd03,경상남도,7195,,용문사 계곡,,자연관광지,계곡,
62aaa415c46aac9e5313cd04,강원도,7196,,청대산,,자연관광지,산,
62aaa415c46aac9e5313cd05,충청북도,7197,,낙영산,,자연관광지,산,
62aaa415c46aac9e5313cd06,충청북도,7198,,도명산,,자연관광지,산,
62aaa415c46aac9e5313cd07,경상남도,7199,,계룡산,,자연관광지,산,
62aaa415c46aac9e5313cd08,경상남도,7200,,국사봉(거제),,자연관광지,산,
62aaa415c46aac9e5313cd09,경상남도,7201,,북병산,,자연관광지,산,
62aaa415c46aac9e5313cd0a,경상남도,7202,,앵산,,자연관광지,산,
62aaa415c46aac9e5313cd0b,경상남도,7203,,옥녀봉(거제),,자연관광지,산,
62aaa415c46aac9e5313cd0c,경상남도,7204,,가라산,,자연관광지,산,
62aaa415c46aac9e5313cd0d,경상남도,7205,,거제 학동리 동백나무 숲 및 팔색조 번식지,,자연관광지,자연생태관광지,
62aaa415c46aac9e5313cd0e,전라남도,7206,,첨찰산,,자연관광지,산,
62aaa415c46aac9e5313cd0f,전라남도,7207,,진도 고니류 도래지,,자연관광지,자연생태관광지,
62aaa415c46aac9e5313cd10,전라남도,7208,,금골산,,자연관광지,산,
62aaa415c46aac9e5313cd11,경상북도,7209,,영일 일월지,,자연관광지,호수,
62aaa415c46aac9e5313cd12,서울,7210,,북한산국립공원(서울),,자연관광지,국립공원,
62aaa415c46aac9e5313cd13,경상북도,7211,,포항 발산리 모감주나무와 병아리꽃나무군락,,자연관광지,자연생태관광지,
62aaa415c46aac9e5313cd14,경상북도,7212,,구룡포해수욕장,,자연관광지,해수욕장,
62aaa415c46aac9e5313cd15,전라남도,7213,,적자봉(격자봉),,자연관광지,산,
62aaa415c46aac9e5313cd16,전라남도,7214,,뾰족산(보죽산),,자연관광지,산,
62aaa415c46aac9e5313cd17,제주도,7215,,어승생악,,자연관광지,산,
62aaa415c46aac9e5313cd18,충청남도,7216,,성거산,,자연관광지,산,
62aaa415c46aac9e5313cd19,충청남도,7217,,광덕산,,자연관광지,산,
62aaa415c46aac9e5313cd1a,경기도,7218,,안산식물원,,자연관광지,수목원,
62aaa415c46aac9e5313cd1b,전라남도,7219,,화순 서유리 공룡발자국화석 산지,,자연관광지,자연생태관광지,
62aaa415c46aac9e5313cd1c,전라남도,7220,,사평폭포,,자연관광지,폭포,
62aaa415c46aac9e5313cd1d,전라남도,7221,,만연폭포,,자연관광지,폭포,
62aaa415c46aac9e5313cd1e,경상남도,7222,,경상남도환경교육원,,자연관광지,수목원,
62aaa415c46aac9e5313cd1f,경상북도,7223,,백천계곡 열목어서식지,,자연관광지,자연생태관광지,
62aaa415c46aac9e5313cd20,경기도,7224,,국립 산음자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd21,경기도,7225,,설매재자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd22,전라북도,7226,,국립 운장산자연휴양림,,자연관광지,자연휴양림,
62aaa415c46aac9e5313cd23,전라남도,7227,,국립 방장산자연휴양림,,자연관광지,자연휴양림,
