rank,name,level,win
244,율자주세요,432,85
245,폼 팡,721,161
246,일몰수정,59,186
247,FPX q2380023067e,103,211
248,Look to Sky,279,115
249,1달안에챌린저,61,94
250,xiao cai niao,109,227
251,T1 Poby,83,274
252,E dal,603,315
253,zxcvkwerty,54,169
254,E T E R N U M l,94,137
255,aaaaaaaaaaaq,54,159
256,not worth it,423,161
257,PowderSn0w,361,142
258,파 고,351,214
259,트위치김수당,593,174
260,뉘셰핑,57,166
261,펭귄빙산추락,239,183
262,Recall99,159,111
263,일산전영찬,82,172
264,어떡해 1997,256,272
265,조이현내누나,126,92
266,무조건이겨야함,189,123
267,Indexy,390,243
268,NEED HER,641,188
269,Lumen AD,436,89
270,김잡초,138,218
271,Aileri,119,159
272,직스 좀 믿어줘,446,87
273,mpljlrpajkkl,145,134
274,노력 끈기 집중,94,492
275,Hide on bush,549,187
276,Lehends,483,164
277,트루 러버,508,156
278,Yuukika,48,102
279,사막여우겨울나기,77,338
280,듀오강의코코팀,86,210
281,NekoL,367,138
282,oilf3,219,303
283,숙제하기시러요,613,166
284,zcqwdaqws,492,287
285,땅에 묻히다,102,118
286,지훈백크,165,237
287,무서워하다20,374,329
288,심찬규,293,199
289,Clever9,508,323
290,Heimskaut refur,54,177
291,kaaanavi,303,197
292,hyc0505,321,189
293,HLE Cracker,196,139
294,옥모화안,124,287
295,청포도육포,122,183
296,bieshimian,61,165
297,hzdx,63,249
298,HLE Seonbi,454,179
299,노정택,46,104
300,hao yun lai 7,60,221
301,tianqileng,69,65
302,사랑하지 않아,165,77
303,climber climber,239,250
304,zcxadfst,47,120
305,HLE OnFleek,565,161
306,Wilder,722,421
307,Map1eStory275Lv,70,300
308,61110002,225,218
309,86 zhendewudi,452,188
310,nnmyj,66,259
311,NS HH,361,359
312,Iove poppy,132,212
313,T1 Smash1,220,142
314,FPX q2380023067g,57,162
315,엉덩국 갱승제로,344,250
316,Bearduck,325,106
317,더블큐티준서버거,186,147
318,초보원딜러,215,122
319,Zrs,277,94
320,DRX 홍창현,829,200
321,xiaoohao,322,128
322,그냥 죽여놓을게,420,85
323,rainyday1111,58,208
324,여주월,332,225
325,몹시 언짢음,94,176
326,HLE Bola,195,168
327,Nierland,48,116
328,natsunoomoide,469,204
329,부커1,205,133
330,TTAsusu,54,94
331,메로나마싯다,49,118
332,nimamazhendu0,97,262
333,박 구 원,95,212
334,꿀단지3,49,144
335,XiaoHuaSheng7,514,119
336,KT VicLa,310,213
337,헤이스트,741,242
338,쌍쌍바 반띵하자,58,194
339,바밤밧,265,216
340,watdoesthefoxsay,61,231
341,소년가장 원딜,171,184
342,은아 예쁘다,424,253
343,duckling,67,281
344,짱구철수훈이유리,133,218
345,kamaru,54,73
346,꿀잼사과잼,266,109
347,일상이 이상해요,88,236
348,eehh,79,388
349,if lose jug gap,69,186
350,KDF Moham,319,144
351,Refrainment,65,82
352,cryscata,204,184
353,iiliilliiIIi,317,217
354,버기해적단 버기,219,254
355,평정심을 잃지마,175,121
356,kkaammm,58,194
357,asdada,52,173
358,Feistyy,116,270
359,군고구마초록매실,75,229
360,오리지널찰떡쿠키,183,107
361,asdasdfdafqw,55,173
362,onaa,43,90
363,wybaby,161,132
364,11baby,342,140
365,ni lai wo si,68,266
366,bilibili24400071,52,151
367,zxcvyn,152,228
368,Dont be arrogant,44,93
369,패배를까먹은사람,93,190
370,쿠로미 마스크,507,122
371,원딜 바보 이채환,304,247
372,KcitselddiF,189,135
373,qwerty789,58,203
374,xxxxxxxxxm1,308,187
375,돌이킬 수 있는,481,163
376,해강고 원딜,446,220
377,Hu Piao Liang,141,159
378,Hegforelly,139,179
379,구I두라미,294,199
380,nyxxynxyn,638,263
381,bu sh1 ben ren,151,239
382,fangqing,74,162
383,LSB TA K ON,198,251
